Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 2 1999,Orlando Magic,86,Charlotte Hornets,100,Box Score,,17461,
Tue Nov 2 1999,Golden State Warriors,96,Dallas Mavericks,108,Box Score,,12848,
Tue Nov 2 1999,Phoenix Suns,102,Denver Nuggets,107,Box Score,OT,19099,
Tue Nov 2 1999,Milwaukee Bucks,98,Houston Rockets,93,Box Score,,14491,
Tue Nov 2 1999,Seattle SuperSonics,104,Los Angeles Clippers,92,Box Score,,17847,
Tue Nov 2 1999,Detroit Pistons,122,Miami Heat,128,Box Score,2OT,14623,
Tue Nov 2 1999,Indiana Pacers,119,New Jersey Nets,112,Box Score,,13051,
Tue Nov 2 1999,Cleveland Cavaliers,84,New York Knicks,92,Box Score,,19763,
Tue Nov 2 1999,Philadelphia 76ers,76,San Antonio Spurs,89,Box Score,,27288,
Tue Nov 2 1999,Boston Celtics,103,Toronto Raptors,90,Box Score,,17711,
Tue Nov 2 1999,Los Angeles Lakers,91,Utah Jazz,84,Box Score,,19911,
Tue Nov 2 1999,Portland Trail Blazers,106,Vancouver Grizzlies,86,Box Score,,18218,
Tue Nov 2 1999,Atlanta Hawks,87,Washington Wizards,94,Box Score,,16038,
Wed Nov 3 1999,Washington Wizards,101,Boston Celtics,112,Box Score,,16082,
Wed Nov 3 1999,New York Knicks,84,Chicago Bulls,74,Box Score,,22176,
Wed Nov 3 1999,New Jersey Nets,90,Cleveland Cavaliers,97,Box Score,,16777,
Wed Nov 3 1999,Vancouver Grizzlies,88,Los Angeles Lakers,103,Box Score,,18997,
Wed Nov 3 1999,Detroit Pistons,94,Orlando Magic,103,Box Score,,14253,
Wed Nov 3 1999,Los Angeles Clippers,98,Portland Trail Blazers,121,Box Score,,20584,
Thu Nov 4 1999,Milwaukee Bucks,119,Atlanta Hawks,109,Box Score,,18514,
Thu Nov 4 1999,Indiana Pacers,89,Charlotte Hornets,98,Box Score,,15762,
Thu Nov 4 1999,Philadelphia 76ers,80,Phoenix Suns,84,Box Score,,19023,
